Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2001-11-24,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-25,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-26,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-27,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-28,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-29,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-11-30,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-01,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-02,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-03,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-04,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-05,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-06,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-07,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-08,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-09,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-10,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-11,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-12,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-13,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-14,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-15,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-16,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-17,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-18,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-19,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-20,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-21,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-22,,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-12-23,,streamflow,13063000,ft3/s,"['A', '[91]']",0
